Date,Price,Open,High,Low,Vol.,Change %
"Jan 22, 2014","15,820.96","15,749.01","15,870.53","15,631.41",185.28K,0.16
"Jan 21, 2014","15,795.96","15,710.89","15,894.68","15,705.84",154.31K,0.99
"Jan 20, 2014","15,641.68","15,724.14","15,727.26","15,574.23",142.23K,-0.59
"Jan 17, 2014","15,734.46","15,695.46","15,783.37","15,621.8",180.15K,-0.08
"Jan 16, 2014","15,747.2","15,845.15","15,941.08","15,710.14",214.20K,-0.39
"Jan 15, 2014","15,808.73","15,649.07","15,808.73","15,636.57",185.85K,2.5
"Jan 14, 2014","15,422.4","15,657.2","15,661.71","15,383.69",214.49K,-3.08
"Jan 10, 2014","15,912.06","15,785.15","15,922.14","15,754.7",237.52K,0.2
"Jan 09, 2014","15,880.33","16,002.88","16,004.56","15,838.44",217.44K,-1.5
"Jan 08, 2014","16,121.45","15,943.68","16,121.45","15,906.57",206.73K,1.94
"Jan 07, 2014","15,814.37","15,835.41","15,935.37","15,784.25",165.88K,-0.59
"Jan 06, 2014","15,908.88","16,147.54","16,164.01","15,864.44",192.65K,-2.35
"Dec 30, 2013","16,291.31","16,269.22","16,320.22","16,182.71",182.08K,0.69
"Dec 27, 2013","16,178.94","16,229.43","16,232.69","16,056.73",170.60K,0.03
"Dec 26, 2013","16,174.44","16,087.07","16,186.04","16,082.28",170.24K,1.03
"Dec 25, 2013","16,009.99","15,861.13","16,010.54","15,853.51",147.36K,0.76
"Dec 24, 2013","15,889.33","15,955.9","16,029.65","15,849",162.96K,0.12
"Dec 20, 2013","15,870.42","15,790.69","15,870.42","15,755.36",165.04K,0.07
"Dec 19, 2013","15,859.22","15,809.43","15,891.82","15,798.85",190.27K,1.74
"Dec 18, 2013","15,587.8","15,273.24","15,588.42","15,268.18",175.24K,2.02
"Dec 17, 2013","15,278.63","15,290.22","15,322.13","15,248.42",120.36K,0.83
"Dec 16, 2013","15,152.91","15,408.35","15,408.35","15,146.13",139.63K,-1.62
"Dec 13, 2013","15,403.11","15,316.89","15,532.94","15,251.45",246.24K,0.4
"Dec 12, 2013","15,341.82","15,377.32","15,392.66","15,255.36",132.27K,-1.12
"Dec 11, 2013","15,515.06","15,509.93","15,562.3","15,386.11",129.24K,-0.62
"Dec 10, 2013","15,611.31","15,633.97","15,633.97","15,562.06",127.20K,-0.25
"Dec 09, 2013","15,650.21","15,556.6","15,650.21","15,547.29",136.90K,2.29
"Dec 06, 2013","15,299.86","15,112.54","15,327.37","15,112.54",135.33K,0.81
"Dec 05, 2013","15,177.49","15,354.53","15,430.2","15,139.12",150.72K,-1.5
"Dec 04, 2013","15,407.94","15,520.2","15,579.36","15,326.06",158.99K,-2.17
"Dec 03, 2013","15,749.66","15,747.54","15,794.15","15,661.9",167.17K,0.6
"Dec 02, 2013","15,655.07","15,659.74","15,703.02","15,579.54",143.19K,-0.04
"Nov 29, 2013","15,661.87","15,661.43","15,727.96","15,507.17",158.27K,-0.41
"Nov 28, 2013","15,727.12","15,622.19","15,729.09","15,605.73",153.99K,1.8
"Nov 27, 2013","15,449.63","15,414.52","15,512.76","15,414.52",144.65K,-0.42
"Nov 26, 2013","15,515.24","15,501.95","15,577.97","15,460.97",156.75K,-0.67
"Nov 25, 2013","15,619.13","15,504.78","15,619.13","15,469.87",176.36K,1.54
"Nov 22, 2013","15,381.72","15,513.45","15,579.39","15,307.44",211.27K,0.1
"Nov 21, 2013","15,365.6","15,176.65","15,377","15,168.47",168.19K,1.92
"Nov 20, 2013","15,076.08","15,176.35","15,209.67","15,069.98",142.50K,-0.33
"Nov 19, 2013","15,126.56","15,096.63","15,163.06","15,020.33",130.23K,-0.25
"Nov 18, 2013","15,164.3","15,253.24","15,273.61","15,106.82",180.14K,-0.01
"Nov 15, 2013","15,165.92","15,034.33","15,203.11","14,994.7",212.60K,1.95
"Nov 14, 2013","14,876.41","14,665.75","14,966.43","14,665.75",190.13K,2.12
"Nov 13, 2013","14,567.16","14,527.97","14,599.53","14,490.92",170.20K,-0.15
"Nov 12, 2013","14,588.68","14,289.87","14,588.68","14,278.21",157.59K,2.23
"Nov 11, 2013","14,269.84","14,271.48","14,304.29","14,208.13",113.53K,1.3
"Nov 08, 2013","14,086.8","14,026.17","14,122.28","14,026.17",117.83K,-1
"Nov 07, 2013","14,228.44","14,355.56","14,371.56","14,222.03",111.62K,-0.76
"Nov 06, 2013","14,337.31","14,155.34","14,407.69","14,130.86",142.19K,0.79
"Nov 05, 2013","14,225.37","14,319.75","14,323.24","14,141.82",167.11K,0.17
"Nov 01, 2013","14,201.57","14,403.07","14,411.05","14,126.41",170.82K,-0.88
"Oct 31, 2013","14,327.94","14,474.01","14,516.08","14,324.17",158.45K,-1.2
"Oct 30, 2013","14,502.35","14,464.67","14,526.88","14,425.58",156.76K,1.23
"Oct 29, 2013","14,325.98","14,288.72","14,395.96","14,224.59",135.63K,-0.49
"Oct 28, 2013","14,396.04","14,261.65","14,400.32","14,194.42",109.47K,2.19
"Oct 25, 2013","14,088.19","14,439.14","14,442.12","14,088.19",139.01K,-2.75
"Oct 24, 2013","14,486.41","14,344.74","14,499.52","14,273.71",144.89K,0.42
"Oct 23, 2013","14,426.05","14,784.41","14,799.28","14,426.05",153.46K,-1.95
"Oct 22, 2013","14,713.25","14,677.08","14,747.77","14,641.78",99.21K,0.13
"Oct 21, 2013","14,693.57","14,624.03","14,727.85","14,624.03",99.06K,0.91
"Oct 18, 2013","14,561.54","14,589.6","14,610.09","14,503.09",120.05K,-0.17
"Oct 17, 2013","14,586.51","14,640.08","14,664.22","14,492.67",135.62K,0.83
"Oct 16, 2013","14,467.14","14,433.64","14,493.67","14,417.61",116.19K,0.18
"Oct 15, 2013","14,441.54","14,510.27","14,510.37","14,415.76",125.58K,0.26
"Oct 11, 2013","14,404.74","14,376.89","14,447.87","14,320.3",169.92K,1.48
"Oct 10, 2013","14,194.71","14,097.62","14,200.31","14,077.03",143.21K,1.12
"Oct 09, 2013","14,037.84","13,789.89","14,037.84","13,751.85",162.10K,1.03
"Oct 08, 2013","13,894.61","13,794.74","13,929.64","13,748.94",163.68K,0.3
"Oct 07, 2013","13,853.32","14,057.79","14,073.23","13,841.93",146.10K,-1.22
"Oct 04, 2013","14,024.31","14,029.73","14,149.77","13,944.27",145.33K,-0.94
"Oct 03, 2013","14,157.25","14,140.11","14,219.89","14,082.31",145.29K,-0.09
"Oct 02, 2013","14,170.49","14,492.47","14,569.2","14,114.54",173.53K,-2.17
"Oct 01, 2013","14,484.72","14,517.98","14,642.97","14,471.7",152.95K,0.2
"Sep 30, 2013","14,455.8","14,530.62","14,619.24","14,425.82",157.29K,-2.06
"Sep 27, 2013","14,760.07","14,803.99","14,817.5","14,699.21",162.12K,-0.26
"Sep 26, 2013","14,799.12","14,553.06","14,799.12","14,410.52",156.65K,1.22
