Date,Price,Open,High,Low,Vol.,Change %
"Jan 09, 2015","3,285.41","3,276.97","3,404.83","3,267.51",41.02B,-0.24
"Jan 08, 2015","3,293.46","3,371.96","3,381.57","3,285.1",37.11B,-2.39
"Jan 07, 2015","3,373.95","3,326.65","3,374.9","3,312.21",39.19B,0.67
"Jan 06, 2015","3,351.45","3,330.8","3,394.22","3,303.18",50.17B,0.03
"Jan 05, 2015","3,350.52","3,258.63","3,369.28","3,253.88",53.14B,3.58
"Dec 31, 2014","3,234.68","3,172.6","3,239.36","3,157.26",40.60B,2.18
"Dec 30, 2014","3,165.81","3,160.8","3,190.3","3,130.35",39.77B,-0.07
"Dec 29, 2014","3,168.02","3,212.56","3,223.86","3,126.94",51.01B,0.33
"Dec 26, 2014","3,157.6","3,078.01","3,164.16","3,064.18",46.07B,2.77
"Dec 25, 2014","3,072.54","2,992.46","3,073.35","2,969.87",37.69B,3.36
"Dec 24, 2014","2,972.53","3,039.21","3,050.51","2,934.91",37.68B,-1.98
"Dec 23, 2014","3,032.61","3,085.08","3,136.84","3,025.67",43.78B,-3.03
"Dec 22, 2014","3,127.44","3,129.27","3,189.87","3,090.51",67.94B,0.61
"Dec 19, 2014","3,108.6","3,053.07","3,117.53","3,018.42",52.11B,1.67
"Dec 18, 2014","3,057.52","3,062.8","3,089.79","3,030.32",43.59B,-0.11
"Dec 17, 2014","3,061.02","3,031.95","3,076.6","2,993.33",54.25B,1.31
"Dec 16, 2014","3,021.52","2,953.81","3,021.9","2,943.91",45.38B,2.31
"Dec 15, 2014","2,953.42","2,921.45","2,960.23","2,890.9",40.04B,0.52
"Dec 12, 2014","2,938.17","2,929.36","2,962.51","2,914.96",40.95B,0.42
"Dec 11, 2014","2,925.74","2,912.35","2,965.67","2,892.61",48.26B,-0.49
"Dec 10, 2014","2,940.01","2,855.94","2,946.71","2,807.68",51.29B,2.93
"Dec 09, 2014","2,856.27","2,992.49","3,091.32","2,834.59",77.20B,-5.43
"Dec 08, 2014","3,020.26","2,907.82","3,041.66","2,879.85",58.76B,2.81
"Dec 05, 2014","2,937.65","2,926.57","2,978.03","2,813.05",64.05B,1.32
"Dec 04, 2014","2,899.46","2,783.47","2,900.51","2,772.43",53.27B,4.31
"Dec 03, 2014","2,779.53","2,768.68","2,824.18","2,733.87",56.21B,0.58
"Dec 02, 2014","2,763.54","2,667.82","2,777.37","2,665.69",43.77B,3.11
"Dec 01, 2014","2,680.16","2,691.72","2,720.74","2,668.84",44.68B,-0.1
"Nov 28, 2014","2,682.83","2,629.63","2,683.18","2,622.06",46.59B,1.99
"Nov 27, 2014","2,630.49","2,615.37","2,631.4","2,599.11",36.41B,1
"Nov 26, 2014","2,604.35","2,572.65","2,605.07","2,570.4",33.71B,1.43
"Nov 25, 2014","2,567.6","2,532","2,568.38","2,527.08",31.43B,1.37
"Nov 24, 2014","2,532.88","2,505.53","2,546.75","2,495.52",36.35B,1.85
"Nov 21, 2014","2,486.79","2,452.63","2,488.2","2,446.65",21.22B,1.39
"Nov 20, 2014","2,452.66","2,443.28","2,458.32","2,437.48",16.55B,0.07
"Nov 19, 2014","2,450.99","2,452.15","2,461.49","2,442.71",18.62B,-0.22
"Nov 18, 2014","2,456.37","2,474.18","2,477.05","2,449.81",20.11B,-0.71
"Nov 17, 2014","2,474.01","2,506.86","2,508.77","2,472.45",21.57B,-0.19
"Nov 14, 2014","2,478.82","2,477.97","2,481.02","2,457.05",22.06B,-0.27
"Nov 13, 2014","2,485.61","2,495","2,507.74","2,471.41",29.50B,-0.36
"Nov 12, 2014","2,494.48","2,454.6","2,494.92","2,444.81",25.29B,1
"Nov 11, 2014","2,469.67","2,483.65","2,508.62","2,445.96",41.19B,-0.16
"Nov 10, 2014","2,473.67","2,436.63","2,474.16","2,428.19",30.06B,2.3
"Nov 07, 2014","2,418.17","2,427.9","2,454.42","2,407.44",29.12B,-0.32
"Nov 06, 2014","2,425.86","2,419.62","2,426.89","2,401.75",22.20B,0.27
