Date,Close,Open,High,Low,Vol.,Change %
2000-06-15,"1,445.25","1,437","1,452.8","1,422.4",30.33M,0.68%
2000-06-16,"1,477.3","1,443.15","1,480.85","1,441.6",39.63M,2.22%
2000-06-19,"1,498.75","1,477.55","1,510.45","1,477.55",37.01M,1.45%
2000-06-20,"1,507.1","1,498","1,518.05","1,497.05",32.05M,0.56%
2000-06-21,"1,475.15","1,524.05","1,539.1","1,470.4",30.55M,-2.12%
2000-06-22,"1,488.25","1,475.65","1,491.4","1,461.3",42.45M,0.89%
2000-06-23,"1,472.2","1,487.85","1,499.85","1,462.75",62.81M,-1.08%
2000-06-26,"1,451.65","1,472.15","1,472.15","1,431.25",28.89M,-1.40%
2000-06-27,"1,454.3","1,452.8","1,467.15","1,448.95",41.44M,0.18%
2000-06-28,"1,470","1,453.7","1,474.7","1,445.6",25.72M,1.08%
2000-06-29,"1,492.35","1,471.35","1,505.75","1,471.35",41.36M,1.52%
2000-06-30,"1,471.45","1,490.2","1,490.65","1,462.45",39.16M,-1.40%
2000-07-03,"1,495.25","1,473.45","1,498.7","1,473.45",39.58M,1.62%
2000-07-04,"1,511.3","1,496.15","1,516.8","1,494.8",37.92M,1.07%
2000-07-05,"1,526.05","1,511.5","1,530.9","1,511.5",51.28M,0.98%
2000-07-06,"1,516.8","1,525.15","1,525.15","1,504.05",42.00M,-0.61%
2000-07-07,"1,517.6","1,517","1,528.15","1,513.4",40.34M,0.05%
2000-07-10,"1,509.65","1,518.15","1,523.2","1,502.7",40.34M,-0.52%
2000-07-11,"1,518.55","1,510.55","1,523.1","1,506.15",47.33M,0.59%
2000-07-12,"1,533.35","1,518.7","1,537.1","1,507.95",41.65M,0.97%
2000-07-13,"1,522.6","1,535.55","1,564.75","1,513.65",47.99M,-0.70%
2000-07-14,"1,509.75","1,522.2","1,534.35","1,505.9",50.97M,-0.84%
2000-07-17,"1,479.65","1,509.25","1,512.25","1,475.15",39.54M,-1.99%
2000-07-18,"1,463.1","1,479.3","1,482.9","1,458.6",39.63M,-1.12%
2000-07-19,"1,435.8","1,464.55","1,468.55","1,432.85",38.46M,-1.87%
2000-07-20,"1,424.2","1,434.95","1,443.25","1,416",44.96M,-0.81%
2000-07-21,"1,397.25","1,424.9","1,435.2","1,394.3",47.90M,-1.89%
2000-07-24,"1,317.75","1,397.05","1,397.05","1,310.85",41.61M,-5.69%
2000-07-25,"1,348.9","1,317.35","1,363.45","1,269.25",52.15M,2.36%
2000-07-26,"1,318.25","1,350.8","1,371.8","1,315.15",35.75M,-2.27%
2000-07-27,"1,338.05","1,317","1,342.75","1,291.3",41.44M,1.50%
2000-07-28,"1,333.8","1,337.7","1,359.4","1,327.95",44.54M,-0.32%
2000-07-31,"1,332.85","1,333.3","1,343.65","1,317.3",28.94M,-0.07%
2000-08-01,"1,326.85","1,332.85","1,344.5","1,322.6",32.54M,-0.45%
2000-08-02,"1,331.9","1,323.7","1,333.85","1,312.25",30.38M,0.38%
2000-08-03,"1,321.25","1,330.7","1,339.4","1,319",37.08M,-0.80%
2000-08-04,"1,318.55","1,320.25","1,333.15","1,302.65",38.82M,-0.20%
2000-08-07,"1,310.8","1,319.7","1,321.7","1,299.9",33.74M,-0.59%
